Unnamed,Uri,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new
1647,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB,ddu-du ddu-du,BLACKPINK,0.6709999999999999,0.8590000000000001,4,-3.9219999999999997,0,0.0833,0.0313,0.0,0.267,0.39,139.931,209355,4,k-pop
1648,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB,ddu-du ddu-du,BLACKPINK,0.6709999999999999,0.8590000000000001,4,-3.9219999999999997,0,0.0833,0.0313,0.0,0.267,0.39,139.931,209355,4,k-pop
1649,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB,ddu-du ddu-du,BLACKPINK,0.6709999999999999,0.8590000000000001,4,-3.9219999999999997,0,0.0833,0.0313,0.0,0.267,0.39,139.931,209355,4,k-pop
1650,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB,ddu-du ddu-du,BLACKPINK,0.6709999999999999,0.8590000000000001,4,-3.9219999999999997,0,0.0833,0.0313,0.0,0.267,0.39,139.931,209355,4,k-pop
1651,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,stay gold,BTS,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.5820000000000001,129.017,243267,4,k-pop
1652,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,stay gold,BTS,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.5820000000000001,129.017,243267,4,k-pop
1653,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,stay gold,BTS,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.5820000000000001,129.017,243267,4,k-pop
1654,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,stay gold,BTS,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.5820000000000001,129.017,243267,4,k-pop
1655,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,stay gold,BTS,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.5820000000000001,129.017,243267,4,k-pop
1656,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,stay gold,BTS,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.5820000000000001,129.017,243267,4,k-pop
1657,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,stay gold,BTS,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.5820000000000001,129.017,243267,4,k-pop
1658,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
